HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.5HG0497670.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 2 (ddf2)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1D, CBF4, ERF116, OsERF#116, OsERF116, AP2/EREBP#054, AP2/EREBP54, OsCbf1, OsCBF1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497680.1.CDS1	C-repeat-binding factor 4 (CBF4);C-repeat/DRE binding factor 1 (CBF1);C-repeat/DRE binding factor 2 (CBF2);dehydration response element B1A (DREB1A);DWARF AND DELAYED FLOWERING 1 (DDF1)	OsDREB1A, Os DREB1A, CBF3, OsCBF3, OsDREB1A/OsCBF3, ERF24, OsERF24, OsERF024, OsERF#024, AP2/EREBP#114, AP2/EREBP114, OsDREBL;OsDREB1E, OsERF030, OsERF#030, OsERF30, ERF30, AP2/EREBP#160, AP2/EREBP160, OsDREB1-1;OsERF#028, OsERF028, OsERF28, DERF4, OsDERF4, OsDREB1J, DREB1J;OsERF#029, OsERF029, OsERF29, DERF4, OsDERF4, AP2/EREBP#161, AP2/EREBP161, OsDREB1I, DREB1I, OsDREB1G, DREB1G;OsERF#133, OsERF133, AP2/EREBP#065, AP2/EREBP65, OsDREB1H, DREB1H, OsDREB1m, DREB1m
HORVU.MOREX.r3.5HG0497690.1.CDS1	MATE efflux family protein;ZF14	OsMATE6, MATE6, OsPTM97-1
HORVU.MOREX.r3.5HG0497700	SUVR4	OsSET10, SDG712, OsSDG712
HORVU.MOREX.r3.5HG0497710.1.CDS1	related to AP2 11 (RAP2.11)	OsERF#004, OsERF004, OsERF4, AP2/EREBP#159, AP2/EREBP159;OsERF#005, OsERF005, OsERF5, AP2/EREBP#072, AP2/EREBP72
HORVU.MOREX.r3.5HG0497770	BCL-2-associated athanogene 1 (BAG1);BCL-2-associated athanogene 2 (BAG2);BCL-2-associated athanogene 3 (BAG3)	OsBAG1;OsBAG2;OsBAG3
HORVU.MOREX.r3.5HG0497790	unknown protein	
HORVU.MOREX.r3.5HG0497800	phloem protein 2-A12 (PP2-A12);phloem protein 2-A13 (PP2-A13);phloem protein 2-A14 (PP2-A14);phloem protein 2-A15 (PP2-A15)	OsFbox127, Os_F0532, OsFBX76, FBX76;OsFbox228, Fbox228, Os_F0553, F0553, OsFBX148, FBX148;OsFbox500, Os_F0186, OsFBX339, FBX339
HORVU.MOREX.r3.5HG0497810	BIG BROTHER (BB);RING/U-box superfamily protein	OsBBI1, OsRING242, RING242, OsC3HC4_059, C3HC4_059;OsRFPH2-14, OsRING130, RING130, OsC3HC4_045, C3HC4_045;OsRING291, E3BB, OsE3BB, BB, OsBB, E3BB, OsE3BB
HORVU.MOREX.r3.5HG0497820.1.CDS1	Protein of unknown function (DUF579)	CDC2;OsGXMT1
HORVU.MOREX.r3.5HG0497830	SAY1;Ubiquitin-like superfamily protein;UBX domain-containing protein	OsPUX8A;OsPUX8B, OsPUX8B.1, OsPUX8B.2, OsPUX8B.3
HORVU.MOREX.r3.5HG0497840.1.CDS1	germin-like protein 10 (GLP10);germin-like protein 5 (GLP5);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	OsGLP3-2, OsCDP3.4, CDP3.4;OsGLP5-2, OsGLP5-1, GLP5-1, OsCDP5.2, CDP5.2;OsGLP9-1, OsCDP9.4, CDP9.4;OsGLP9-2, OsCDP9.5, CDP9.5;OsGLP9-3, OsCDP9.6, CDP9.6
HORVU.MOREX.r3.5HG0497850	HAPLESS 2 (HAP2)	OsGCS1, OsHAP2(GCS1), OsHAP2, HAP2
HORVU.MOREX.r3.5HG0497860	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase (CHAT);HXXXD-type acyl-transferase family protein	HSR201;OsEnS-105;Spl18, OsAT1, AT1
HORVU.MOREX.r3.5HG0497880	unknown protein	OsRDN, OsRDN1, RDN1
HORVU.MOREX.r3.5HG0497890	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase (CHAT);HXXXD-type acyl-transferase family protein	HSR201;OsEnS-105;Spl18, OsAT1, AT1
HORVU.MOREX.r3.5HG0497900	RHOMBOID-like 2 (RBL2);RHOMBOID-like protein 3 (RBL3)	OsRhmbd11, Os_RBL3e, OsRBL3e, RBL3e;OsRhmbd14, Os_RBL3c, OsRBL3c, RBL3c;OsRhmbd16, Os_RBL3d, OsRBL3d, RBL3d;OsRhmbd18, Os_RBL1, OsRBL1, RBL1;OsRhmbd7, Os_RBL3a, OsRBL3a, RBL3a
HORVU.MOREX.r3.5HG0497930.1.CDS1	ROOT PRIMORDIUM DEFECTIVE 1 (RPD1);Ubiquitin carboxyl-terminal hydrolase family protein	
HORVU.MOREX.r3.5HG0497940	ANTHOCYANINLESS 2 (ANL2);homeodomain GLABROUS 1 (HDG1);protodermal factor 2 (PDF2)	Roc4(t), Roc4, GL2-4, OsROC4, OsGL2-4, OsHDZ16, OsHDZIP16, HDZ16, HDZIP16;ROC5, Roc5(t), Roc5, GL2-5, OsROC5, CLF1, OsCLF1, OsOUL1, OsHDZ7, OsHDZIP7, HDZ7, HDZIP7;Roc6(t), Roc6, GL2-6, OsHDZ32, OsHDZIP32, HDZ32, HDZIP32
HORVU.MOREX.r3.5HG0497970	ethylene-responsive element binding protein (EBP);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1 (HRE1);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2 (HRE2)	OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84;OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#068, OsERF068, OsERF68, AP2/EREBP#003, AP2/EREBP3, ERF2
HORVU.MOREX.r3.5HG0497990	AT-HSFB2B;heat shock factor 1 (HSF1);heat shock factor 4 (HSF4);heat shock transcription factor  B2A (HSFB2A);heat shock transcription factor  B4 (HSFB4)	HSfB2a, OsHsfB2a, OsHsf-14, rHsf1, HSF1, HSF14, OsHSF14;HSfB2b, OsHsfB2b, OsHsf-21, rHsf2, HSF2, HSF21, OsHSF21, OsHSF7;HSfB2c, OsHsfB2c, OsHsf-24, HSF24, OsHSF24
HORVU.MOREX.r3.5HG0498000	ROOT HAIR DEFECTIVE 1 (RHD1);UDP-D-glucose/UDP-D-galactose 4-epimerase 1 (UGE1);UDP-D-glucose/UDP-D-galactose 4-epimerase 2 (UGE2);UDP-D-glucose/UDP-D-galactose 4-epimerase 3 (UGE3);UDP-D-glucose/UDP-D-galactose 4-epimerase 5 (UGE5)	OsUGE1, OsUGE-1, UGE-1, UGE1;OsUGE2, UGE2, OsFC24, BZ1, OsBZ1, OsBP1, BP1;OsUGE3, OsUGE4;OsUGE4, OsUGE3
HORVU.MOREX.r3.5HG0498000	UDP-D-glucose/UDP-D-galactose 4-epimerase 1 (UGE1);UDP-D-glucose/UDP-D-galactose 4-epimerase 2 (UGE2);UDP-D-glucose/UDP-D-galactose 4-epimerase 3 (UGE3);UDP-D-glucose/UDP-D-galactose 4-epimerase 5 (UGE5)	OsUGE1, OsUGE-1, UGE-1, UGE1;OsUGE2, UGE2, OsFC24, BZ1, OsBZ1, OsBP1, BP1;OsUGE3, OsUGE4;OsUGE4, OsUGE3
HORVU.MOREX.r3.5HG0498010	NC domain-containing protein-related	
HORVU.MOREX.r3.5HG0498080	Amino acid permease family protein	OsLAT2;OsLAT3;OsLAT4;OsPUT1, PUT, OsLAT1;OsPUT3, OsPUT3.1, OsPAR1, OsLAT5, LAT5
HORVU.MOREX.r3.5HG0498130	RAB GTPase homolog A3 (RABA3);RAB GTPase homolog A4A (RABA4a);RAB GTPase homolog A4B (RABA4B);RAB GTPase homolog A4C (RABA4C);RAB GTPase homolog A4D (RABA4D)	OsRab11E1;OsRab11F1, OsPRA2, PRA2, OsPra2;OsRab11F2;OsSTA36;rgp1, OsRab11E2
HORVU.MOREX.r3.5HG0498140	Rhodanese/Cell cycle control phosphatase superfamily protein	OsStr4
HORVU.MOREX.r3.5HG0498150.1.CDS1	aldolase like (ALL1);Phosphoenolpyruvate carboxylase family protein	
HORVU.MOREX.r3.5HG0498170	VPS22	OsVPS22
HORVU.MOREX.r3.5HG0498190	unknown protein	
HORVU.MOREX.r3.5HG0498210	6-phosphogluconolactonase 2 (PGL2);6-phosphogluconolactonase 4 (PGL4);6-phosphogluconolactonase 5 (PGL5);EMBRYO DEFECTIVE 2024 (EMB2024)	OsPGL
HORVU.MOREX.r3.5HG0498230	Ypt/Rab-GAP domain of gyp1p superfamily protein	
HORVU.MOREX.r3.5HG0498270	homeobox 12 (HB-12);homeobox 1 (HB-1);homeobox 7 (HB-7);homeobox protein 5 (HB5)	Oshox20, OsHox20, OsHDZ28, OsHDZIP28, HDZ28, HDZIP28;Oshox22, OsHox22, OsHDZ14, OsHDZIP14, HDZ14, HDZIP14;Oshox24, OsHox24, OsSLI1, OsHDZ6, OsHDZIP6, HDZ6, HDZIP6;Oshox4, OsHox4, OsHDZ31, OsHDZIP31, HDZ31, HDZIP31;Oshox6, OsHox6, OsHDZ33, OsHDZIP33, HDZ33, HDZIP33
HORVU.MOREX.r3.5HG0498300	ATP binding microtubule motor family protein	
HORVU.MOREX.r3.5HG0498320	B-box type zinc finger family protein;B-box zinc finger family protein	OsBBX13, BBX13, OsRIP1, RIP1;OsBBX29, OsDBB1, BBX29, DBB1, DLN230, OsDLN230;OsBBX6
HORVU.MOREX.r3.5HG0498330	AUXIN INDUCIBLE 2-11 (ATAUX2-11);AUXIN RESISTANT 3 (AXR3);phytochrome-associated protein 2 (PAP2);SHORT HYPOCOTYL 2 (SHY2)	OsIAA11;OsIAA13, OsIAA1, OsiIAA1;OsIAA26;OsIAA30;OsIAA3, IAA3, OsIAA31, OsIAA30, IAA30
HORVU.MOREX.r3.5HG0498340	plant U-box 9 (PUB9)	OsPUB73;OsPUB8, OsPUB08, OsPUB8, PUB8
HORVU.MOREX.r3.5HG0498360	cellulase 2 (CEL2);glycosyl hydrolase 9B13 (GH9B13);glycosyl hydrolase 9B18 (GH9B18);glycosyl hydrolase 9B1 (GH9B1);glycosyl hydrolase 9B6 (GH9B6)	OsGH9B1;OsGH9B14;OsGH9B16;OsGH9B2;OsGH9B3
HORVU.MOREX.r3.5HG0498400	hydroxyproline-rich glycoprotein family protein	OsEULD1a, EULD1a, OrysaEULD1A, OSR40 g2, OSR40g2, R40g2;OsEULD1b, EULD1b, Osr40c1, r40c1, OSR40c1, OrysaEULD1B
HORVU.MOREX.r3.5HG0498480	UDP-glucosyl transferase 85A2 (UGT85A2);UDP-glucosyl transferase 85A3 (UGT85A3);UDP-glucosyl transferase 85A7 (UGT85A7);UGT85A1	
HORVU.MOREX.r3.5HG0498490	Nucleotide-diphospho-sugar transferases superfamily protein	
HORVU.MOREX.r3.5HG0498500	AUXIN RESISTANT 1 (AXR1);AXR1-like (AXL)	
HORVU.MOREX.r3.5HG0498510	unknown protein	
HORVU.MOREX.r3.5HG0498530	SBT3.3;Subtilase family protein	Hwi2, OsHWI2, OsSub9, SUB9;OsRSP1, OsSub5, SUB5, OsSub6, SUB6;OsSub27;OsSub35;OsSub59
HORVU.MOREX.r3.5HG0498550	FAR1-related sequence 5 (FRS5)	
HORVU.MOREX.r3.5HG0498580	MEI2 C-terminal RRM only like 1 (MCT1);MEI2 C-terminal RRM only like 2 (MCT2);terminal EAR1-like 1 (TEL1);terminal EAR1-like 2 (TEL2)	pla2, pla2(pla2-1, pla2-2), plt2, LHD2, OsLHD2, RRM1-14, OsRRM1-14
HORVU.MOREX.r3.5HG0498610	MEI2 C-terminal RRM only like 1 (MCT1);MEI2 C-terminal RRM only like 2 (MCT2);terminal EAR1-like 1 (TEL1);terminal EAR1-like 2 (TEL2)	pla2, pla2(pla2-1, pla2-2), plt2, LHD2, OsLHD2, RRM1-14, OsRRM1-14
HORVU.MOREX.r3.5HG0498620	MEI2 C-terminal RRM only like 1 (MCT1);MEI2 C-terminal RRM only like 2 (MCT2);terminal EAR1-like 1 (TEL1);terminal EAR1-like 2 (TEL2)	pla2, pla2(pla2-1, pla2-2), plt2, LHD2, OsLHD2, RRM1-14, OsRRM1-14
HORVU.MOREX.r3.5HG0498660	SHI-related sequence 5 (SRS5);SHORT INTERNODES (SHI);STYLISH 1 (STY1)	OsSHI1, OsSRS5, SRS5;OsSRS1;OsSRS3;OsSRS4
HORVU.MOREX.r3.5HG0498710.1.CDS1	chitinase A (CHIA)	C10150;C10701
HORVU.MOREX.r3.5HG0498720	CONSTITUTIVE DIFFERENTIAL GROWTH 1 (CDG1);proline extensin-like receptor kinase 1 (PERK1);Protein kinase superfamily protein	OsGAUT1;OsPERK1;OsRLCK199, LRRK1, OsLRRK1;OsRLCK210;OsRLCK64
HORVU.MOREX.r3.5HG0498740.1.CDS1	Uncharacterised conserved protein UCP015417,  vWA	OsvWA21, vWA21;OsvWA4, vWA4
HORVU.MOREX.r3.5HG0498770	galacturonosyltransferase 1 (GAUT1);galacturonosyltransferase 3 (GAUT3)	OsGAUT1;OsGAUT2, GAUT, OsPDT1;OsGAUT3;OsGAUT4, GAUT4
HORVU.MOREX.r3.5HG0498820.1.CDS1	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	OsNHL16;OsNHL35;OsNHL65;OsNHL76
HORVU.MOREX.r3.5HG0498830	pseudo-response regulator 9 (PRR9)	OsPRR59, Os-PRR59, Prr5, OsPRR5, OsCCT38, CCT38;OsPRR95, Os-PRR95, Prr2, OsPRR2, OsCCT33
HORVU.MOREX.r3.5HG0498890.1.CDS1	FUNCTIONS IN: molecular_function unknown;Pentatricopeptide repeat (PPR-like) superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein	
HORVU.MOREX.r3.5HG0498900	alpha/beta-Hydrolases superfamily protein;DNA photolyases	OsPHRL
HORVU.MOREX.r3.5HG0498910	myb domain protein 17 (MYB17);myb domain protein 20 (MYB20);myb domain protein 42 (MYB42);myb domain protein 43 (MYB43);myb domain protein 85 (MYB85)	Os2R_MYB76, MYB2-91, OsMYB2-91;OsMyb10, Os2R_MYB82, 2R_MYB82, MYB2-99, OsMYB2-99;OsMYB20, MYB20/43, Os2R_MYB30, 2R_MYB30, MYB2-33, OsMYB2-33;OsMYB42/85, MYB42/85, OsMYB85, MYB85, Os2R_MYB85, 2R_MYB85, MYB2-102, OsMYB2-102;R2R3-MYB, OsMYB2-76
HORVU.MOREX.r3.5HG0498950	pantothenate kinase 1 (PANK1);pantothenate kinase 2 (PANK2)	
HORVU.MOREX.r3.5HG0498960.1.CDS1	Glycosyl hydrolase superfamily protein;O-Glycosyl hydrolases family 17 protein	Gns9, OsGns9, OsPR8a, PR8a, OsBGL12, BGL12, BG12, OsBG12;OsBG11;OsPR2, PR2, OsGlu1, Glu1
HORVU.MOREX.r3.5HG0499000	purple acid phosphatase 14 (PAP14);purple acid phosphatase 28 (PAP28);purple acid phosphatase 29 (PAP29)	
HORVU.MOREX.r3.5HG0499010	purple acid phosphatase 14 (PAP14);purple acid phosphatase 28 (PAP28);purple acid phosphatase 29 (PAP29)	
HORVU.MOREX.r3.5HG0499020	purple acid phosphatase 14 (PAP14);purple acid phosphatase 28 (PAP28);purple acid phosphatase 29 (PAP29)	
HORVU.MOREX.r3.5HG0499040	Aminotransferase-like, plant mobile domain family protein;hydrolases	
HORVU.MOREX.r3.5HG0499110	WNK7	OsWNK2;OsWNK6;OsWNK9
HORVU.MOREX.r3.5HG0499110	with no lysine (K) kinase 3 (WNK3);with no lysine (K) kinase 6 (WNK6);WNK7	OsWNK2;OsWNK4;OsWNK6;OsWNK9
HORVU.MOREX.r3.5HG0499120	lon protease 1 (LON1);lon protease 2 (LON2);lon protease 3 (LON3);lon protease 4 (LON4)	OsLon1, LON1, OsLonP4, LONP4, LON2;OsLonP3, LONP3
HORVU.MOREX.r3.5HG0499130	O-acyltransferase (WSD1-like) family protein	WSD1, OsWSD1, OsDITL1
HORVU.MOREX.r3.5HG0499210	O-acyltransferase (WSD1-like) family protein	WSD1, OsWSD1, OsDITL1
HORVU.MOREX.r3.5HG0499250.1.CDS1	histone H2A 10 (HTA10);histone H2A 12 (HTA12);histone H2A 6 (HTA6);histone H2A 7 (HTA7)	
HORVU.MOREX.r3.5HG0499260	O-acyltransferase (WSD1-like) family protein	WSD1, OsWSD1, OsDITL1
HORVU.MOREX.r3.5HG0499290	O-acyltransferase (WSD1-like) family protein	WSD1, OsWSD1, OsDITL1
HORVU.MOREX.r3.5HG0499310	O-acyltransferase (WSD1-like) family protein	WSD1, OsWSD1, OsDITL1
HORVU.MOREX.r3.5HG0499340	Protein kinase superfamily protein	OsRLCK155;OsRLCK218;OsRLCK232, PTK9, OsPTK9;OsRLCK278, RLCK278, PTK15, OsPTK15;OsRLCK80
HORVU.MOREX.r3.5HG0499360	GA REQUIRING 1 (GA1);GA REQUIRING 2 (GA2);terpene synthase 02 (TPS02);terpene synthase 04 (TPS04);Terpenoid cyclases/Protein prenyltransferases superfamily protein	OsKS1, KS1, KS1A, KSL1, OsKSL1, OsKS1A, OsKS1B, OsKS1C, Ks1, Os KS1, OsTPS26, TPS6, OsTPS6;OsKS3, OSKS3, KS3, KSL3, OsKSL3, OsKS2, KS2, OsTPS25, TPS39, OsTPS39;OsKS4, KS4, KSL4, OsKSL4, DTS2, OsDTS2, OsTPS16, TPS16, TPS8, OsTPS8;OsKS6, KS6, KSL6, OsKSL6, KS5, OsKS5, OsTPS9, TPS9, TPS14, OsTPS14;OsKS7, KS7, KSL7, OsKSL7, DTC1, OsDTC1, OsKS3, OsDTC1/OsKS7, OsTPS6, TPS6, TPS38, OsTPS38
HORVU.MOREX.r3.5HG0499370	GA REQUIRING 1 (GA1);GA REQUIRING 2 (GA2);terpene synthase 04 (TPS04)	OsCPS1, OsCPS1ent, OsCPS, Os CPS1, OsTPS4, TPS4, TPS29, OsTPS29, OsCPS1-L, OsCPS1-S;OsCPS2, cps2, OsCPS2ent, CYC2, OsCyc2, OsCYC2, OsCPSL1, cpsl1, OsCyc2/OsCPS2, OsTPS7, Os-CPS2, TPS13, OsTPS13;OsCPS4, CYC1, OsCYC1, OsCyc1, cpsl3, OsCPSL3, OsCPSsyn, OsCyc1/OsCPS4, OsTPS15, Os-CPS4, TPS11, OsTPS11
HORVU.MOREX.r3.5HG0499430	Abscisic acid-responsive (TB2/DP1, HVA22) family protein;HVA22-like protein G (HVA22G)	OsSTA232
HORVU.MOREX.r3.5HG0499440	glycosyl hydrolase 9B5 (GH9B5);glycosyl hydrolase 9B7 (GH9B7);glycosyl hydrolase 9B8 (GH9B8)	OsGH9B5;OsGH9B6;OsGH9B7;OsGH9B8
HORVU.MOREX.r3.5HG0499450	Putative adipose-regulatory protein (Seipin)	
HORVU.MOREX.r3.5HG0499460	Late embryogenesis abundant (LEA) protein-related;late embryogenesis abundant protein-related / LEA protein-related	
HORVU.MOREX.r3.5HG0499470	peroxidase 2 (PA2);Peroxidase superfamily protein	atp6, OsPOX1, prx3, POX1;prx118;prx57;prx86, OsPRX86;prx88, OsPRX88
HORVU.MOREX.r3.5HG0499480	ER lumen protein retaining receptor family protein	OsGL1B
HORVU.MOREX.r3.5HG0499490	Cyclin family protein;Cyclin-like family protein;plant-specific TFIIB-related protein (PBRP);transcription factor IIB (TFIIB)	OsTFIIB
HORVU.MOREX.r3.5HG0499530	cell wall-associated kinase (WAK1);wall-associated kinase 2 (WAK2);wall associated kinase 3 (WAK3);wall associated kinase 4 (WAK4);wall associated kinase 5 (WAK5)	OsWAK37;OsWAK38;OsWAK5
HORVU.MOREX.r3.5HG0499540	Eukaryotic translation initiation factor 2B (eIF-2B) family protein;NagB/RpiA/CoA transferase-like superfamily protein	
HORVU.MOREX.r3.5HG0499550	unknown protein	
HORVU.MOREX.r3.5HG0499580	triosephosphate isomerase (TIM);triosephosphate isomerase (TPI)	OscTPI;tpi*, tips, TI, OsTPI1, TPI1, OsTPI1.1, OsTPI1.2
HORVU.MOREX.r3.5HG0499590.1.CDS1	Protein of unknown function (DUF1442)	
HORVU.MOREX.r3.5HG0499600	unknown protein	
HORVU.MOREX.r3.5HG0499610.1.CDS1	Protein of unknown function (DUF1442)	
HORVU.MOREX.r3.5HG0499620	CONTAINS InterPro DOMAIN/s: Methyltransferase FkbM (InterPro:IPR006342)	
HORVU.MOREX.r3.5HG0499630	BIG BROTHER (BB);RING/U-box superfamily protein	OsRFPH2-14, OsRING130, RING130, OsC3HC4_045, C3HC4_045;OsRING243, OsC3HC4_076, C3HC4_076;OsRING244, OsC3HC4_084, C3HC4_084;OsRING291, E3BB, OsE3BB, BB, OsBB, E3BB, OsE3BB;OsRING6, OsC3HC4_029, C3HC4_029
HORVU.MOREX.r3.5HG0499650	XAP5 CIRCADIAN TIMEKEEPER (XCT)	
HORVU.MOREX.r3.5HG0499760	Papain family cysteine protease;RESPONSIVE TO DEHYDRATION 19 (RD19)	OsEnS-106
HORVU.MOREX.r3.5HG0499780	MATE efflux family protein	OsMATE12;OsPEZ1, OsMATE14, MATE14;OsPEZ2, OsMATE15, MATE15
HORVU.MOREX.r3.5HG0499860.1.CDS1	RING-H2 finger A3A (RHA3A)	OsRING237, OsC3HC4_085, C3HC4_085
HORVU.MOREX.r3.5HG0499880	5'-3' exoribonuclease 3 (XRN3);exoribonuclease 2 (XRN2);exoribonuclease 4 (XRN4)	OsXrn3, Xrn3;OsXrn4-L, Xrn4-L;OsXrn4, Xrn4, OsEIN5
HORVU.MOREX.r3.5HG0499890.1.CDS1	PLC-like phosphodiesterases superfamily protein	
HORVU.MOREX.r3.5HG0499910.1.CDS1	BPM3;BTB-POZ and MATH domain 1 (BPM1);BTB-POZ and MATH domain 2 (BPM2)	OsMB22, MB22, OsMBTB51, MBTB51;OsMB30, MB30, OsMBTB52, MBTB52;OsMB42, MB42, OsMBTB53, MBTB53;OsMBTB49;OsMBTB50
HORVU.MOREX.r3.5HG0499920	endonuclease/exonuclease/phosphatase family protein	
HORVU.MOREX.r3.5HG0499960.1.CDS1	beta-ketoacyl reductase 1 (KCR1);beta-ketoacyl reductase 2 (KCR2)	
HORVU.MOREX.r3.5HG0499990	Class II aminoacyl-tRNA and biotin synthetases superfamily protein;NS1	
HORVU.MOREX.r3.5HG0500000.1.CDS1	PLC-like phosphodiesterases superfamily protein	
HORVU.MOREX.r3.5HG0500010.1.CDS1	disease resistance family protein / LRR family protein;Leucine-rich receptor-like protein kinase family protein;receptor like protein 12 (RLP12);receptor like protein 50 (RLP50);receptor like protein 6 (RLP6)	OsSTA22
HORVU.MOREX.r3.5HG0500050	CONTAINS InterPro DOMAIN/s: Zinc finger, TTF-type (InterPro:IPR006580);General transcription factor 2-related zinc finger protein;TTF-type zinc finger protein with HAT dimerisation domain	
HORVU.MOREX.r3.5HG0500100.1.CDS1	armadillo repeat only 1 (ARO1);armadillo repeat only 2 (ARO2);armadillo repeat only 3 (ARO3);armadillo repeat only 4 (ARO4)	
HORVU.MOREX.r3.5HG0500120	Pathogenesis-related thaumatin superfamily protein	
HORVU.MOREX.r3.5HG0500130	Pathogenesis-related thaumatin superfamily protein;THAUMATIN-LIKE PROTEIN 1 (TLP1)	
HORVU.MOREX.r3.5HG0500140	Major facilitator superfamily protein	OsMFS2;OsMFS5
HORVU.MOREX.r3.5HG0500170	ROCK-N-ROLLERS (RCK)	
HORVU.MOREX.r3.5HG0500180	cyclophilin 5 (CYP5);Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;rotamase CYP 7 (ROC7)	OsCYP19-4, OsCYP-16, OsCYP19-3, OsCYP19-4.1, OsCYP19-4.2, OsCYP19-4.3, OsCYP19-4.4, OsCYP19-4.5, OsCYP19-4.6, OsCYP19-4.7, OsCYP19-4.8;OsCYP20-1, OsCYP-17, OsCYP20-1a, OsCYP20-1b;OsCYP20-2, OsCYP-11, OsNuCYP20-2;OsCYP21-1, OsCYP-24
HORVU.MOREX.r3.5HG0500200	purple acid phosphatase 13 (PAP13);purple acid phosphatase 15 (PAP15);purple acid phosphatase 23 (PAP23)	LDC, PAP15, OsPAP15;OsPAP21a;OsPAP23
HORVU.MOREX.r3.5HG0500210	20S proteasome  alpha subunit PAD1 (PAD1);proteasome alpha subunit D2 (PAD2);proteasome subunit PAB1 (PAB1)	OsPAC1;OsPAD1
HORVU.MOREX.r3.5HG0500220	FUNCTIONS IN: molecular_function unknown;Topoisomerase II-associated protein PAT1	
HORVU.MOREX.r3.5HG0500360.1.CDS1	D-arabinono-1,4-lactone oxidase family protein	
HORVU.MOREX.r3.5HG0500420	Glycosyl hydrolase superfamily protein;O-Glycosyl hydrolases family 17 protein	GLUB;OsBGL2
HORVU.MOREX.r3.5HG0500520	myb domain protein 32 (MYB32);myb domain protein 3 (MYB3);myb domain protein 4 (MYB4);myb domain protein 6 (MYB6);myb domain protein 7 (MYB7)	OsMyb1, OSMYB1, R2R3-MYB, OsDLN141, DLN141, Os2R_MYB55, 2R_MYB55, MYB2-64, OsMYB2-64;R2R3-MYB, OsDLN231, OsMYB108, MYB108, OsMYB31, MYB31, Os2R_MYB86, Os2R_MYB86, 2R_MYB86, MYB2-103, OsMYB2-103;R2R3-MYB, OsDLN254, OsMYB2, Os2R_MYB94, 2R_MYB94, MYB2-113, OsMYB2-113;R2R3-MYB, OsDLN31, MYB3, OsMYB22, MYB22, Os2R_MYB18, 2R_MYB18, MYB2-20, OsMYB2-20;R2R3-MYB, OsGL1A, DLN218, OsDLN218, OsMYB102, MYB102, Os2R_MYB81, 2R_MYB81, MYB2-97, OsMYB2-97, OsMYB7, MYB7
HORVU.MOREX.r3.5HG0500530	MALE-STERILE 5 (MS5);SULPHUR DEFICIENCY-INDUCED 1 (ATSDI1);Tetratricopeptide repeat (TPR)-like superfamily protein	MS5;OsSDI1;OsSDI2
HORVU.MOREX.r3.5HG0500550	ANTHOCYANINLESS 2 (ANL2);homeodomain GLABROUS 1 (HDG1);protodermal factor 2 (PDF2)	Roc4(t), Roc4, GL2-4, OsROC4, OsGL2-4, OsHDZ16, OsHDZIP16, HDZ16, HDZIP16;ROC5, Roc5(t), Roc5, GL2-5, OsROC5, CLF1, OsCLF1, OsOUL1, OsHDZ7, OsHDZIP7, HDZ7, HDZIP7;Roc6(t), Roc6, GL2-6, OsHDZ32, OsHDZIP32, HDZ32, HDZIP32
HORVU.MOREX.r3.5HG0500560	FUNCTIONS IN: GTP binding;Protein of unknown function (DUF630) ;Protein of unknown function (DUF630 and DUF632)	OsREL2, OsDLT10, DLT10, RSD1, OsRSD1, RSD1/REL2
HORVU.MOREX.r3.5HG0500570	SYTB	OsNTMC2T1.1, OsC2DP17, C2DP17;OsNTMC2T1.2, OsC2DP76, C2DP76;OsNTMC2T1.3, OsC2DP7, C2DP7
