QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_5AG0372800	Integrase-type DNA-binding superfamily protein	OsERF#017, OsERF017, OsERF17, AP2/EREBP#091, AP2/EREBP91;OsERF#131, OsERF131, AP2/EREBP#094, AP2/EREBP94, SERF1, OsSERF1
QOZ80_5AG0372810	Protein of unknown function (DUF179)	
QOZ80_5AG0372820	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP24;OsGELP25;OsGELP67, OsGELP67a, OsGELP67b;OsGELP95
QOZ80_5AG0372830	unknown protein	
QOZ80_5AG0372840	RNA-binding KH domain-containing protein	OsKH11;OsKH18;OsKH22;OsKH7;Spin1, OsSPIN1, OsKH16, KH16
QOZ80_5AG0372860	EMBRYO DEFECTIVE 1879 (EMB1879);ROOT UV-B SENSITIVE 2 (RUS2);ROOT UV-B SENSITIVE 3 (RUS3);ROOT UV-B SENSITIVE 4 (RUS4)	OsRUS1;OsRUS2, OsRUS2.1, OsRUS2.2;OsRUS6A;OsRUS6B
QOZ80_5AG0372870	alfin-like 3 (AL3);alfin-like 5 (AL5);alfin-like 6 (AL6);alfin-like 7 (AL7)	OsPHD1, OsAL1.2, AL1.2, OsAL1, AL1;OsPHD21, OsAL4, AL4;OsPHD24, OsAL5.2, AL5.2, OsAL6, AL6;OsPHD40, OsAL11, AL11, OsAL9, AL9
QOZ80_5AG0372880	alpha/beta-Hydrolases superfamily protein	
QOZ80_5AG0372900	FEZ (FEZ);LONG VEGETATIVE PHASE 1 (LOV1);NAC domain containing protein 35 (NAC035);NAC domain containing protein 3 (NAC3);NAC domain containing protein 94 (NAC094)	ONAC022, ONAC22;ONAC063, ONAC63;ONAC075, ONAC75;ONAC087, ONAC87
QOZ80_5AG0372910	ORGANELLE TRANSCRIPT PROCESSING 81 (OTP81);pentatricopeptide (PPR) repeat-containing protein;Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_5AG0372920	MILDEW RESISTANCE LOCUS O 13 (MLO13);MILDEW RESISTANCE LOCUS O 15 (MLO15);MLO1	OsMLO2, OsMLO3, OsMlo2, MLO2, Mlo2, Mlo, MLO3;OsMLO5, MLO5;OsMLO5, OsMLO2;OsMLO8, MLO8;OsMLO9, MLO9
QOZ80_5AG0372930	MILDEW RESISTANCE LOCUS O 13 (MLO13);MILDEW RESISTANCE LOCUS O 15 (MLO15);MLO1	OsMLO2, OsMLO3, OsMlo2, MLO2, Mlo2, Mlo, MLO3;OsMLO5, MLO5;OsMLO5, OsMLO2;OsMLO8, MLO8;OsMLO9, MLO9
QOZ80_5AG0372940	GDP dissociation inhibitor family protein / Rab GTPase activator family protein;guanosine nucleotide diphosphate dissociation inhibitor 1 (GDI1);RAB GDP dissociation inhibitor 2 (GDI2)	OsGDI1;OsGDI2, OsGDI3, GDI3;OsGDI3, OsGDI2, GDI2;OsGDI4
QOZ80_5AG0372950	GDP dissociation inhibitor family protein / Rab GTPase activator family protein;guanosine nucleotide diphosphate dissociation inhibitor 1 (GDI1);RAB GDP dissociation inhibitor 2 (GDI2)	OsGDI1;OsGDI2, OsGDI3, GDI3;OsGDI3, OsGDI2, GDI2;OsGDI4
QOZ80_5AG0373000	unknown protein	
QOZ80_5AG0373010	FUNCTIONS IN: molecular_function unknown;Thioredoxin superfamily protein	
QOZ80_5AG0373020	DegP protease 10 (DegP10);DegP protease 13 (DegP13);DegP protease 3 (DegP3);DegP protease 4 (DegP4)	OsDegp10, DEGP10, OsDeg9.2;OsDegp3, DEGP3, OsDeg9.1;OsDegp6, DEGP6, OsDeg2;OsDegp7, DEGP7, OsDeg10, DEPG10, OsDEPG10
QOZ80_5AG0373030	LATERAL ORGAN BOUNDARIES (LOB)	CRL1L3, CRLL3, OsCrll3, OsIG1, OsLBD1-9, LBD1-9, OsAS2, AS2, OsLBD11, LBD11;OsLBD31;ra2, Osra2, OsCrll4, CRL1L4, CRLL4, OsRA2, OsLBD13, LBD13
QOZ80_5AG0373040	DEA(D/H)-box RNA helicase family protein;RNA helicase 36 (RH36)	
QOZ80_5AG0373060	beta-hexosaminidase 1 (HEXO1);beta-hexosaminidase 2 (HEXO2);beta-hexosaminidase 3 (HEXO3)	OsSTA39
QOZ80_5AG0373070	BAK1-interacting receptor-like kinase 1 (BIR1);EXCESS MICROSPOROCYTES1 (EMS1);Leucine-rich repeat protein kinase family protein	OsBRL3;OsLRR-RLK1, OsPSKR12, PSKR12, OsPSKR, PSKR;OsSLA1-L1, SLA1-L1;OsSLA1, OsBIR3, BIR3, RUB1, OsRUB1
QOZ80_5AG0373120	LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	
QOZ80_5AG0373130	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	PIC22
QOZ80_5AG0373150	Transcription elongation factor (TFIIS) family protein	
QOZ80_5AG0373170	isopentenyl diphosphate isomerase 1 (IPP1);isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase 2 (IPP2)	OsIPI, ipi, OsIPPI1, IPPI1;OsIPPI2
QOZ80_5AG0373180	Histone superfamily protein	H3R-11;H3R-21;OsHTR702
QOZ80_5AG0373190	beta-6 tubulin (TUB6);tubulin beta 8 (TUB8);tubulin beta chain 2 (TUB2);tubulin beta chain 3 (TUB3)	OsTUB1, TUBB1, OSTB-34;OsTUB2, TUBB2;OsTUB4, TUBB4, OSTB-16, R1623, RTUB-1, Ostub16;OsTUB6, TUBB6
QOZ80_5AG0373200	Mitochondrial transcription termination factor family protein	OsML1, ML1
QOZ80_5AG0373210	EARLY-RESPONSIVE TO DEHYDRATION 9 (ERD9);glutathione S-transferase tau 2 (GSTU2);glutathione S-transferase tau 3 (GSTU3);glutathione S-transferase tau 7 (GSTU7);glutathione S-transferase TAU 8 (GSTU8)	GST;OsGSTU16;OsGSTU17, OsGST23, GST23;OsGSTU2, ParC, OsGSTU6-3, GSTU6-3;OsGSTU9
QOZ80_5AG0373240	Single-stranded nucleic acid binding R3H protein	
QOZ80_5AG0373250	basic region/leucine zipper motif protein 49 (BZIP49);BZIP17;BZIP28	OsbZIP39, bZIP39, DLN138, OsDLN138;OsbZIP60, bZIP60
QOZ80_5AG0373260	FAD/NAD(P)-binding oxidoreductase family protein	OsTCD5, TSV, OsTSV, CSV1, OsCSV1
QOZ80_5AG0373280	Major facilitator superfamily protein;peptide transporter 1 (PTR1)	OsPTR8, OsNPF8.5, NPF8.5;PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373290	Major facilitator superfamily protein;peptide transporter 1 (PTR1)	OsPTR8, OsNPF8.5, NPF8.5;PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373300	Major facilitator superfamily protein;peptide transporter 2 (PTR2)	OsPTR8, OsNPF8.5, NPF8.5;PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373310	alpha/beta-Hydrolases superfamily protein	eg1, GY1, OsEG1, OsGY1, OsPLA1-Ialpha2, PLA1-Ialpha2;OsPLA1-Igamma1;OsPLA1-IIbeta;OsPLA1-Iidelta, PLA1-IIdelta
QOZ80_5AG0373320	Gibberellin-regulated family protein	OsGASR1, GASR1
QOZ80_5AG0373330	Major facilitator superfamily protein;peptide transporter 2 (PTR2)	PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373340	Major facilitator superfamily protein;peptide transporter 1 (PTR1)	OsPTR7, OsNPF8.1, NPF8.1, OsNPF8.10, NPF8.10;PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373350	Major facilitator superfamily protein;peptide transporter 1 (PTR1);peptide transporter 2 (PTR2)	OsPTR7, OsNPF8.1, NPF8.1, OsNPF8.10, NPF8.10;PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373360	Major facilitator superfamily protein;peptide transporter  5 (PTR5)	OsPTR7, OsNPF8.1, NPF8.1, OsNPF8.10, NPF8.10;PTR;PTR, OsNPF3.1;PTR, OsNPF3.1, NPF3.1
QOZ80_5AG0373370	RAN GTPase activating protein 1 (RANGAP1);RAN GTPase activating protein 2 (RANGAP2);RNI-like superfamily protein	OsYPD1
QOZ80_5AG0373380	alpha/beta-Hydrolases superfamily protein;carboxyesterase 17 (CXE17)	ONAC149;OsCXE11.1;OsCXE12.1;OsHSR203J, HSR203J, CXE5.1, OsCXE5.1, BSE, OsBSE, SD4, OsSD4
QOZ80_5AG0373390	alpha/beta-Hydrolases superfamily protein;carboxyesterase 17 (CXE17)	ONAC149;OsCXE11.1;OsCXE12.1;OsHSR203J, HSR203J, CXE5.1, OsCXE5.1, BSE, OsBSE, SD4, OsSD4
QOZ80_5AG0373400	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPLS7
QOZ80_5AG0373410	nodulin MtN21 /EamA-like transporter family protein	OsUMAMIT15;OsUMAMIT9
QOZ80_5AG0373420	microtubule-associated protein 65-2 (MAP65-2);microtubule-associated protein 65-5 (MAP65-5);microtubule-associated proteins 65-1 (MAP65-1)	
QOZ80_5AG0373430	cystatin B (CYSB);Cystatin/monellin family protein	
QOZ80_5AG0373450	unknown protein	SIP28
QOZ80_5AG0373460	unknown protein	
QOZ80_5AG0373470	Ubiquitin-associated/translation elongation factor EF1B protein	
QOZ80_5AG0373480	1-deoxy-D-xylulose 5-phosphate synthase 1 (DXPS1);1-deoxy-D-xylulose 5-phosphate synthase 3 (DXPS3);CLOROPLASTOS ALTERADOS 1 (CLA1)	CLA1, OsDXS1, dxs1, OsDXS, DXS, OsTKL1, TKL1;OsDXS2, dxs2;OsDXS, OsDXS3, dxs3, DXS2, OsDXS2
QOZ80_5AG0373490	RING/U-box superfamily protein	OsRING351, LA4, OsLA4, LATA1, OsLATA1
QOZ80_5AG0373500	alpha/beta-Hydrolases superfamily protein	
QOZ80_5AG0373510	squamosa promoter binding protein-like 1 (SPL1);squamosa promoter binding protein-like 7 (SPL7)	OsSPL1, DLN8, OsDLN8, DLN8a, DLN8b, OsDLN8a, OsDLN8b;OsSPL9
QOZ80_5AG0373520	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_5AG0373530	alpha/beta-Hydrolases superfamily protein;carboxyesterase 18 (CXE18);GA INSENSITIVE DWARF1A (GID1A);GA INSENSITIVE DWARF1B (GID1B);GA INSENSITIVE DWARF1C (GID1C)	gid1, OsGID1, Thl, Os GID1;OsCXE11.2;OsCXE11.3;OsCXE7.11
QOZ80_5AG0373540	transducin family protein / WD-40 repeat family protein	OsWD40-113, OsDWD34, DWD34;OsWD40-119, OsDWD17, DWD17;OsWD40-14, OsDWD36, DWD36
QOZ80_5AG0373550	signal recognition particle 54 kDa subunit (ATHSRP54A);signal recognition particle receptor alpha subunit family protein;Signal recognition particle, SRP54 subunit protein	
QOZ80_5AG0373560	Leucine-rich repeat (LRR) family protein;RNI-like superfamily protein	OsSIK1, OsER2, ER2, OsERL, ERL
QOZ80_5AG0373570	inosine-uridine preferring nucleoside hydrolase family protein;Inosine-uridine preferring nucleoside hydrolase family protein	OsCPN1
QOZ80_5AG0373590	inosine-uridine preferring nucleoside hydrolase family protein;Inosine-uridine preferring nucleoside hydrolase family protein	OsCPN1
QOZ80_5AG0373600	inosine-uridine preferring nucleoside hydrolase family protein;Inosine-uridine preferring nucleoside hydrolase family protein	OsCPN1
QOZ80_5AG0373610	unknown protein	
QOZ80_5AG0373620	homolog of yeast autophagy 18 (ATG18) F (G18F);homolog of yeast autophagy 18 (ATG18) G (ATG18G);homolog of yeast autophagy 18 (ATG18) H (ATG18H)	OsATG18e, OsWD40-27;OsATG18f, OsWD40-118
QOZ80_5AG0373630	Mitochondrial transcription termination factor family protein	OsML1, ML1
QOZ80_5AG0373640	cytochrome P450, family 709, subfamily B, polypeptide 2 (CYP709B2);cytochrome P450, family 721, subfamily A, polypeptide 1 (CYP721A1);cytochrome P450, family 72, subfamily A, polypeptide 15 (CYP72A15);PHYB ACTIVATION TAGGED SUPPRESSOR 1 (BAS1)	OsCYP72A18;OsCYP734A6
QOZ80_5AG0373660	pyruvate orthophosphate dikinase (PPDK)	FLO4-4, flo4, flo4-2, flo4-3, ppdk, OsPPDK, PPDK1, CPDK1, PPDKB, OsPPDKB, cyOsPPDKB, OsPBDK, PBDK, osppdkb, PPD, cyPPDK, chPPDKB, chOsPPDKB;osppdka, ppdka
QOZ80_5AG0373670	pyruvate orthophosphate dikinase (PPDK)	FLO4-4, flo4, flo4-2, flo4-3, ppdk, OsPPDK, PPDK1, CPDK1, PPDKB, OsPPDKB, cyOsPPDKB, OsPBDK, PBDK, osppdkb, PPD, cyPPDK, chPPDKB, chOsPPDKB;osppdka, ppdka
QOZ80_5AG0373690	methyl-CPG-binding domain 1 (MBD1);methyl-CPG-binding domain 4 (MBD4)	OsMBD706;OsMBD711
QOZ80_5AG0373700	RESISTANCE TO PHYTOPHTHORA 1 (RPH1)	
QOZ80_5AG0373730	embryo defective 2219 (EMB2219);Mitochondrial transcription termination factor family protein	
QOZ80_5AG0373740	Mitochondrial transcription termination factor family protein	OsML1, ML1
QOZ80_5AG0373750	Mitochondrial transcription termination factor family protein	OsML1, ML1
QOZ80_5AG0373760	Eukaryotic aspartyl protease family protein	OsBphi262
QOZ80_5AG0373780	monogalactosyl diacylglycerol synthase 1 (MGD1);monogalactosyldiacylglycerol synthase 2 (MGD2);monogalactosyldiacylglycerol synthase type C (MGDC)	OsMGD1;OsMGD3;OsMGD, MGD, OsMGD2, OsMGDG3, MGDG3
QOZ80_5AG0373790	Eukaryotic aspartyl protease family protein	OsBphi262
QOZ80_5AG0373800	phosphate deficiency response 2 (PDR2)	OsPDR2
QOZ80_5AG0373810	Bax inhibitor-1 family protein	
QOZ80_5AG0373820	hydroxyproline-rich glycoprotein family protein;oxidoreductase, 2OG-Fe(II) oxygenase family protein	OsALKBH10, OsALKBH9C, ALKBH9C;OsALKBH5, OsALKBH9A, ALKBH9A, OsALKBH9, ALKBH9;OsALKBH8A
QOZ80_5AG0373830	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein	
QOZ80_5AG0373840	TLP18.3	
QOZ80_5AG0373850	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP14;OsGELP15, OsGELP15a, OsGELP15b, OsGELP15c;OsGELP66;OsGELP91;OsGELP92, OsGELP92a, OsGELP92b, OsGELP92c, AChE
QOZ80_5AG0373860	ALBINO AND PALE GREEN 10 (APG10)	
QOZ80_5AG0373870	NRPB7	
QOZ80_5AG0373880	cobalt ion transmembrane transporters	ABCI8, OsABCI8, OsABCI9, ABCI9, OsARG1
QOZ80_5AG0373890	AWPM-19-like family protein	AWPM-19, PM19, OsPM1, OsPM-1, OsPM19L1, PM19L1, OsAWPM-19, OsPM19;OsPM19L2
QOZ80_5AG0373900	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH3;OsDLH4
QOZ80_5AG0373910	basic chitinase (HCHIB);Chitinase family protein	Cht1*(Chi1), Ch16, Cht1, CHT-1, CH16, RC24, OsChia1a, OsChia1, Chi1, Cht1*, Chi-1, Cht-1, Cht1, RCC1, OsCht-1, PR3, OsPR3;Cht3*, Cht3, Cht-3, CH6, OsChia1c, CHI7, OsCHI11, CHI11, OsPR3, PR3;Cht9, OsCht9, Cht1, OsChi19A, Chi19A;OsChia1;175, PC, Cht7, OsChia1d, Chia1d;RCH10*, OsRCH10, Cht13, OsCht13, Cht12, OsCht12, Rcht2, OsRcht2, Chit4, OsChit4
QOZ80_5AG0373920	basic chitinase (HCHIB);Chitinase family protein	Cht1*(Chi1), Ch16, Cht1, CHT-1, CH16, RC24, OsChia1a, OsChia1, Chi1, Cht1*, Chi-1, Cht-1, Cht1, RCC1, OsCht-1, PR3, OsPR3;Cht2*, Cht2, RC7, OsChia1b, Chia1b, CHIT17, OsCHIT17;Cht3*, Cht3, Cht-3, CH6, OsChia1c, CHI7, OsCHI11, CHI11, OsPR3, PR3;Cht9, OsCht9, Cht1, OsChi19A, Chi19A;RCH10*, OsRCH10, Cht13, OsCht13, Cht12, OsCht12, Rcht2, OsRcht2, Chit4, OsChit4
QOZ80_5AG0373930	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH4
QOZ80_5AG0373960	Major facilitator superfamily protein;MSS1;sugar transporter 6 (STP6);sugar transporter protein 7 (STP7)	OsMST3, OsSTP3, STP3;OsMST4, OsSTP4, STP4;OsMST6, STP6, OsSTP6;OsMST8, OSMST8, OsSTP8, STP8;OsSTP26
QOZ80_5AG0373970	Leucine-rich receptor-like protein kinase family protein;phytosulfokin receptor 1 (PSKR1);phytosylfokine-alpha receptor 2 (PSKR2);receptor like protein 2 (RLP2)	OsPSKR1, OsPSKR10, PSKR10;OsPSKR1, PSKR1;OsPSKR2, OsPSKR11, PSKR11
QOZ80_5AG0374010	basic chitinase (HCHIB);Chitinase family protein	Cht1*(Chi1), Ch16, Cht1, CHT-1, CH16, RC24, OsChia1a, OsChia1, Chi1, Cht1*, Chi-1, Cht-1, Cht1, RCC1, OsCht-1, PR3, OsPR3;Cht2*, Cht2, RC7, OsChia1b, Chia1b, CHIT17, OsCHIT17;Cht3*, Cht3, Cht-3, CH6, OsChia1c, CHI7, OsCHI11, CHI11, OsPR3, PR3;Cht9, OsCht9, Cht1, OsChi19A, Chi19A;RCH10*, OsRCH10, Cht13, OsCht13, Cht12, OsCht12, Rcht2, OsRcht2, Chit4, OsChit4
QOZ80_5AG0374040	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH3
QOZ80_5AG0374050	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH3;OsDLH4
QOZ80_5AG0374080	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH3
QOZ80_5AG0374090	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH4
QOZ80_5AG0374100	alpha/beta-Hydrolases superfamily protein	OsDLH1;OsDLH2;OsDLH4
QOZ80_5AG0374110	Protein kinase superfamily protein	OsRLCK149
QOZ80_5AG0374120	ARMADILLO BTB protein 1 (ABAP1);ARM repeat protein interacting with  ABF2 (ARIA)	OsABTB1
QOZ80_5AG0374150	Di-glucose binding protein with Kinesin motor domain;P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsKCH1, KCH1, OsKCH, KCH, O12
QOZ80_5AG0374160	embryo sac development arrest 25 (EDA25)	BIP111
QOZ80_5AG0374170	EMBRYO DEFECTIVE 2289 (EMB2289);SECY homolog 1 (SCY1)	
QOZ80_5AG0374180	RING/U-box superfamily protein	OsRFPHC-8, OsRING114, RING114;OsRING110;OsRING111
QOZ80_5AG0374200	CONTAINS InterPro DOMAIN/s: Immunoglobulin-like fold (InterPro:IPR013783);unknown protein	
QOZ80_5AG0374260	NRPB2;nuclear RNA polymerase A2 (NRPA2);nuclear RNA polymerase C2 (NRPC2);nuclear RNA polymerase D2A (NRPD2A)	
QOZ80_5AG0374280	CBS domain-containing protein with a domain of unknown function (DUF21);CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF21 (InterPro:IPR002550), Cystathionine beta-synthase, core (InterPro:IPR000644);FUNCTIONS IN: molecular_function unknown	OsCBSDUF1, OsCBSDUF1a, OsCBSDUF1b, CBSDUF1, CBSDUF1a, CBSDUF1b;OsCBSDUF2, OsMGR3, MGR3;OsCBSDUF3, OsSTA88
QOZ80_5AG0374290	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein	
QOZ80_5AG0374300	unknown protein	SIP28
QOZ80_5AG0374310	FUNCTIONS IN: binding;unknown protein	
QOZ80_5AG0374340	INVOLVED IN: N-terminal protein myristoylation;unknown protein	OsREL2, OsDLT10, DLT10, RSD1, OsRSD1, RSD1/REL2
QOZ80_5AG0374350	Pentatricopeptide repeat (PPR-like) superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein	OsTMS19
QOZ80_5AG0374360	ERD (early-responsive to dehydration stress) family protein	OsOSCA1.1, OsIOSCA1.1, OsDDP1, DDP1, OsDDP1.1, OsDDP1.2, OsDDP1.3, OsDDP1.4;OsOSCA1.2, OsIOSCA1.2, OsDDP6, DDP6, OsDDP6.1, OsDDP6.2;OsSTA149, OsOSCA1.3, OsIOSCA1.3, OsDDP5, DDP5, OsDDP5.1
QOZ80_5AG0374380	debranching enzyme 1 (DBE1);isoamylase 1 (ISA1);isoamylase 3 (ISA3)	ISA1, OsISA1, ISA, OsISA, PHS8/ISA1, OsPHS8, ISA I, OsISA I, ISAI, OsISAI;OsISA2, ISA II, OsISA II;OsISA3
QOZ80_5AG0374400	PALE CRESS (PAC)	
QOZ80_5AG0374410	Ribosomal protein L34e superfamily protein	
QOZ80_5AG0374420	Disease resistance protein (CC-NBS-LRR class) family	OsLSR, LSR;OsRPP8
QOZ80_5AG0374430	SKP1-like 14 (SK14);SKP1-like 16 (SK16);SKP1-like 19 (SK19);SKP1-like 4 (SK4);S phase kinase-associated protein 1 (SKP1)	OSK15, OsSK15;OSK16;OSK25;OSK5;OSK6, OsSK6
QOZ80_5AG0374440	Leucine-rich repeat (LRR) family protein;Leucine-rich repeat protein kinase family protein	OsMRLK66;OsMRLP17;OsMRLP5;OsMRLP7
QOZ80_5AG0374450	folate transporter 1 (FOLT1);Mitochondrial substrate carrier family protein;peroxisomal adenine nucleotide carrier 1 (PNC1);peroxisomal adenine nucleotide carrier 2 (PNC2)	
QOZ80_5AG0374480	CDK-activating kinase 4 (CAK4);cell division control 2 (CDC2);cyclin-dependent kinase D1;Protein kinase superfamily protein	cdc2Os-1, CDC2Os-1, CDKA-1, CDKA;1, Orysa;CDKA;1, OsCDKA;1, cdc2Os1, Rcdc2-1, OsCDKA1, CDKA1, CDC20S-1, OsCDC20S-1;CDKD;1, Orysa;CDKD;1, R2, OsR2, CAK R2, CDKD1;3
QOZ80_5AG0374490	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
QOZ80_5AG0374500	glycine-rich protein	
QOZ80_5AG0374510	KEEP ON GOING (KEG);Protein kinase superfamily protein	
QOZ80_5AG0374520	XH/XS domain-containing protein	OsFDML1, FDML1;OsFDML2, FDML2;OsFDML4, FDML4;X1, OsFDML3, FDML3
QOZ80_5AG0374540	Glycosyltransferase family 61 protein	OsXAT7;OsXXAT1;OsXYXT2
QOZ80_5AG0374550	glycoside hydrolase family 2 protein	
QOZ80_5AG0374560	Protein of unknown function (DUF288)	
QOZ80_5AG0374570	unknown protein	
QOZ80_5AG0374580	C-terminal domain phosphatase-like 3 (CPL3);C-terminal domain phosphatase-like 4 (CPL4)	OsCPL3
QOZ80_5AG0374620	FZO-like (FZL)	
QOZ80_5AG0374630	alpha/beta-Hydrolases superfamily protein	eg1, GY1, OsEG1, OsGY1, OsPLA1-Ialpha2, PLA1-Ialpha2;OsPLA1-Ialpha1;OsPLA1-Ialpha3;OsPLA1-Igamma1;OsPLA1-Iidelta, PLA1-IIdelta
QOZ80_5AG0374650	cyclin-dependent kinase C;cyclin dependent kinase group C2 (CDKC2);Protein kinase superfamily protein	CDKC;1, Orysa;CDKC;1, Orysa;CDKC;2, CDKC;2, OsCDKC;2, OsCDKC2;CDKC;2, Orysa;CDKC;2, Orysa;CDKC;1, CDKC;1, OsCDKC1, OsCDKC;1;CDKC;3, Orysa;CDKC;3;Orysa;CKL4
QOZ80_5AG0374660	S-locus lectin protein kinase family protein	SDRLK-16, OsSDRLK-16, OsSDRLK16;SDRLK-18, OsSDRLK-18, OsSDRLK18;SDRLK-19, OsSDRLK-19, OsSDRLK19;SDRLK-41, OsSDRLK-41, OsSDRLK41
QOZ80_5AG0374680	Protein kinase superfamily protein;receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	SDRLK-19, OsSDRLK-19, OsSDRLK19;SDRLK-41, OsSDRLK-41, OsSDRLK41;SDRLK-50, OsSDRLK-50, OsSDRLK50;SDRLK-70, OsSDRLK-70, OsSDRLK70;SDRLP-4, OsSDRLP-4, OsSDRLP4
QOZ80_5AG0374700	RING/U-box superfamily protein	OsRFP, OsRLIM, OsRING399, RING399, OsC3HC4_053, C3HC4_053;OsRING353
QOZ80_5AG0374710	DNAse I-like superfamily protein	
QOZ80_5AG0374720	Major facilitator superfamily protein	Os_F0797
QOZ80_5AG0374730	SUPERSENSITIVE TO ABA AND DROUGHT 1 (SAD1)	
QOZ80_5AG0374770	Integrase-type DNA-binding superfamily protein;WRINKLED 1 (WRI1)	AP2/EREBP99, AP2/EREBP#099, OsWRI4, OsWRI5a, WRI5a;ERF142, OsERF#142, OsERF142, AP2/EREBP#049, AP2/EREBP49, SMOS1, OsSMOS1, SHB, OsAP2-EREBP-049, RLA1, RLA1/SMOS1, OsERF142/SMOS1, OsNGR5, GR5, OsGR5;OsPLT4, AP2/EREBP#037, AP2/EREBP37, BBM4, OsBBM4;OsPLT5, AP2/EREBP5, AP2/EREBP#005, BBM3, OsBBM3, BBM1, OsBBM1
QOZ80_5AG0374790	Protein of unknown function (DUF3411);Protein of unknown function (DUF399 and DUF3411)	
QOZ80_5AG0374800	Ribosomal protein L1p/L10e family	
QOZ80_5AG0374810	NAD kinase 1 (NADK1);NAD kinase 2 (NADK2)	OsNADK;OsNADK1
QOZ80_5AG0374820	ARPC4	
QOZ80_5AG0374840	unknown protein	
QOZ80_5AG0374850	crinkly4 (CR4);Protein kinase superfamily protein	OsCR4, CR4, OsMIS2;OsRLCK186;OsWAK10
QOZ80_5AG0374870	MIF4G domain-containing protein / MA3 domain-containing protein	
QOZ80_5AG0374890	Nucleotide-diphospho-sugar transferase family protein;RhamnoGalacturonan speci&#64257;rhamnogalacturonan xylosyltransferase 1 (RGXT1);rhamnogalacturonan xylosyltransferase 2 (RGXT2)	
QOZ80_5AG0374900	SU(VAR)3-9 homolog 4 (SUVH4)	OsSDG714, OsSET5, OsSUVH4;OsSET30, SDG710, OsSUVH10, DLN209, OsDLN209, OsSDG710;OsSET35, SDG727, OsSUVH6, OsSDG727;OsSET40, SDG733, OsSUVH11, OsSDG733;OsSET4, SET4, SDG709, OsSDG709, OsSUVH7
QOZ80_5AG0374920	LATERAL ROOT PRIMORDIUM 1 (LRP1);STYLISH 1 (STY1)	OsSHI1, OsSRS5, SRS5;OsSRS1;OsSRS2;OsSRS4
QOZ80_5AG0374970	alternative  NAD(P)H dehydrogenase 1 (NDA1);alternative NAD(P)H dehydrogenase 2 (NDA2);NAD(P)H dehydrogenase B1 (NDB1);NAD(P)H dehydrogenase B3 (NDB3)	OsNDA1;OsNDA2;OsNDA, NDB3, OsNDB3, OsNDB2, NDB2
QOZ80_5AG0374990	unknown protein	OsRDN, OsRDN1, RDN1
QOZ80_5AG0375000	unknown protein	
QOZ80_5AG0375010	ABC-2 type transporter family protein	OsABCG11;OsABCG13, OsABCG13_1, OsABCG13_2;OsABCG14;OsABCG2
QOZ80_5AG0375020	dof affecting germination 1 (DAG1);Dof-type zinc finger DNA-binding family protein;OBP2;TARGET OF MONOPTEROS 6 (TMO6)	OsDof14, Dof14, OsDof-14, OsDof12, Dof12;OsDof22, Dof22, OsDof-22, OsDof23, Dof23;OsDof29, Dof29, OsDof-29, OsDof20, Dof20, CRPG562, OsCRPG562;OsDof3, OsDOF3, OsEnS-34, OsDof10, Dof10, OsDof-10, OsDOF1, DOF1, DOF3, OsRPBF, OsDOF7;OsDof7, Dof7, OsDof-7, OsDOF11, DOF11, OsDof9, Dof9
